mall1 POLYGON ((-122.2 47.5, -122.2 47.6, -122.3 47.6, -122.3 47.5, -122.2 47.5))
mall497 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall498 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall499 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall500 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall501 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall502 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall503 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall504 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall505 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall506 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall507 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall508 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall509 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall510 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall511 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall512 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall513 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall514 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall515 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall516 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall517 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall518 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall519 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall520 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall521 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall522 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall523 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall524 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall525 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall526 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall527 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall528 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall529 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall530 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall531 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall532 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall533 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall534 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall535 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall536 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall537 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall538 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall539 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall540 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall541 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall542 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall543 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall544 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall545 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall546 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall547 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall548 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall549 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall550 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall551 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall552 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall553 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall554 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall555 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall556 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall557 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall558 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall559 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall560 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall561 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall562 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall563 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall564 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall565 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall566 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall567 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall568 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall569 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall570 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall571 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall572 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall573 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall574 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall575 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall576 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall577 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall578 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall579 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall580 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall581 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall582 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall583 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall584 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall585 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall586 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall587 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall588 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall589 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall590 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall591 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall592 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall593 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall594 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall595 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall596 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall597 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall598 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall599 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall600 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall601 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall602 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall603 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall604 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall605 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall606 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall607 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall608 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall609 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall610 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall611 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall612 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall613 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall614 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall615 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall616 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall617 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall618 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall619 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall620 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall621 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall622 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall623 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall624 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall625 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall626 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall627 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall628 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall629 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall630 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall631 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall632 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall633 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall634 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall635 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall636 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall637 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall638 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall639 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall640 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall641 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall642 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall643 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall644 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall645 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall646 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall647 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall648 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall649 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall650 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall651 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall652 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall653 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall654 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall655 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall656 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall657 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall658 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall659 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall660 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall661 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall662 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall663 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall664 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall665 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall666 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall667 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall668 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall669 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall670 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall671 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall672 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall673 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall674 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall675 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall676 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall677 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall678 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall679 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall680 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall681 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall682 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall683 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall684 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall685 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall686 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall687 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall688 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall689 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall690 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall691 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall692 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall693 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall694 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall695 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall696 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall697 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall698 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall699 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall700 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall701 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall702 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall703 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall704 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall705 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall706 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall707 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall708 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall709 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall710 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall711 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall712 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall713 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall714 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall715 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall716 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall717 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall718 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall719 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall720 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall721 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall722 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall723 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall724 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall725 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall726 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall727 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall728 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall729 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall730 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall731 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall732 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall733 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall734 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall735 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall736 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall737 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall738 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall739 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall740 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall741 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall742 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall743 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall744 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
